 ,XM,YM
945,647.996,599.798
946,787.868,599.808
947,455.729,600.948
948,1028.752,601.801
949,996.663,604.422
950,1135.841,604.960
951,1167.844,606.052
952,511.762,605.451
953,685.707,607.328
954,749.762,607.372
955,923.976,605.451
956,1095.697,609.935
957,979.291,608.799
958,399.562,620.162
959,453.481,618.949
960,511.216,625.991
961,924.350,625.969
962,639.117,626.804
963,796.552,626.665
964,1038.922,627.155
965,1169.717,629.559
966,986.500,627.653
967,243.048,630.004
968,283.364,630.473
969,443.801,636.747
970,315.991,633.114
971,683.275,633.747
972,752.324,633.761
973,399.917,637.017
974,1145.229,637.857
975,521.170,639.274
976,914.500,639.347
977,352.869,640.621
978,1039.153,640.085
979,1089.466,642.901
980,1117.666,641.776
981,378.678,642.911
982,416.448,648.627
983,312.000,649.000
984,623.342,648.421
985,812.470,648.370
986,600.692,650.100
987,834.979,650.045
988,535.052,650.259
989,900.566,650.313
990,580.110,651.400
991,855.593,651.438
992,998.684,657.720
993,1039.533,655.688
994,662.785,653.963
995,772.876,653.924
996,1174.204,654.091
997,558.500,654.419
998,877.385,654.385
999,438.000,656.500
1000,716.390,658.989
1001,238.742,660.264
1002,1090.908,663.410
1003,330.365,677.884
1004,1115.382,662.957
1005,1160.664,663.264
1006,744.747,663.174
1007,1060.845,664.086
1008,1138.792,668.167
1009,696.253,667.380
1010,350.809,674.313
1011,1176.409,675.152
1012,645.816,676.582
1013,789.816,676.582
1014,474.500,684.962
1015,751.675,682.617
1016,961.344,684.875
1017,564.787,687.593
1018,685.768,687.687
1019,870.990,687.541
1020,1138.881,686.810
1021,587.471,688.935
1022,848.335,689.032
1023,348.781,689.404
1024,432.433,689.077
1025,538.583,691.438
1026,897.096,691.432
1027,1093.155,696.148
1028,1181.208,691.544
1029,612.024,697.424
1030,823.824,697.341
1031,1135.860,708.569
1032,237.641,701.856
1033,426.000,702.500
1034,744.000,701.117
1035,566.048,703.883
1036,869.721,703.827
1037,317.129,707.480
1038,648.554,704.370
1039,787.225,704.357
1040,477.957,707.476
1041,957.929,707.563
1042,517.157,708.369
1043,918.562,708.407
1044,1000.053,710.333
1045,698.500,709.552
1046,353.041,711.537
1047,724.250,712.688
1048,1177.781,713.596
1049,254.988,715.453
1050,285.605,716.667
1051,1091.248,717.710
1052,565.595,722.184
1053,615.500,721.104
1054,820.236,721.127
1055,870.203,722.304
1056,418.236,721.906
1057,1006.562,726.859
1058,371.462,728.034
1059,655.582,728.758
1060,780.136,728.682
1061,238.604,733.356
1062,474.500,730.104
1063,678.000,730.000
1064,757.862,730.000
1065,961.241,730.148
1066,517.237,731.132
1067,918.246,731.044
1068,286.966,732.776
1069,1176.196,738.527
1070,262.500,732.764
1071,1041.099,733.755
1072,1086.087,740.082
1073,1059.822,735.798
1074,1132.033,737.364
1075,389.772,736.150
1076,339.167,737.944
1077,363.857,740.143
1078,566.885,742.085
